avg,slg,obp,ab,r,h,hbp,h2b,h3b,hr,rbi,bb,so,pk,team_name,date,ops
.249,0.369,0.345,31,7,9,1,2,0,1,6,1,7,0,GSV,2024-10-26,0.714
.254,0.438,0.306,32,3,9,0,4,0,2,3,2,12,1,CUL,2024-10-16,0.744
.250,0.297,0.331,33,1,8,1,1,0,0,1,0,2,0,GSV,2024-10-16,0.628
.217,0.306,0.301,31,2,4,1,0,0,1,2,0,12,1,MTY,2024-10-25,0.607
.246,0.362,0.338,33,5,10,1,4,0,0,5,0,6,0,GSV,2024-10-25,0.7
.226,0.312,0.308,33,3,8,0,0,0,0,3,0,9,0,MTY,2024-10-27,0.62
.249,0.366,0.35,25,5,6,0,2,0,0,5,1,7,1,GSV,2024-10-27,0.716
.262,0.415,0.306,36,7,11,0,4,0,1,4,0,7,0,CUL,2024-10-13,0.721
.200,0.246,0.297,32,4,7,0,1,0,0,3,0,9,0,GSV,2024-10-13,0.5429999999999999
.237,0.32,0.306,32,1,6,1,0,0,0,1,0,7,0,NAV,2024-10-30,0.626
.234,0.351,0.307,30,3,7,0,0,0,0,3,0,4,0,MXC,2024-10-30,0.6579999999999999
.276,0.421,0.363,32,6,10,2,4,0,1,6,0,6,1,CUL,2024-11-06,0.784
.225,0.333,0.303,30,2,5,0,0,1,0,2,0,6,0,MXC,2024-11-06,0.636
.275,0.416,0.356,35,2,6,0,1,0,0,1,0,10,0,CUL,2024-11-05,0.772
.227,0.338,0.303,27,3,5,0,0,1,1,3,0,7,0,MXC,2024-11-05,0.641
.234,0.319,0.305,33,6,6,1,1,0,1,4,1,6,0,NAV,2024-10-31,0.624
.231,0.342,0.305,32,0,6,1,0,0,0,0,0,12,0,MXC,2024-10-31,0.647
.281,0.431,0.368,40,10,15,0,3,0,2,10,0,6,0,CUL,2024-11-07,0.7989999999999999
.224,0.338,0.301,33,5,7,0,1,0,2,5,0,9,0,MXC,2024-11-07,0.639
.240,0.329,0.309,33,4,7,1,0,0,2,4,0,11,0,NAV,2024-10-29,0.638
.234,0.359,0.306,31,6,7,0,4,0,1,6,0,12,0,MXC,2024-10-29,0.665
.248,0.373,0.333,37,7,10,0,3,1,0,7,0,9,0,HER,2024-10-25,0.706
.235,0.355,0.31,33,4,8,1,1,0,0,4,0,6,0,MXC,2024-10-25,0.665
.240,0.366,0.325,30,1,4,0,1,0,1,1,0,7,0,HER,2024-10-26,0.6910000000000001
.232,0.346,0.309,27,2,5,2,1,0,0,2,0,10,0,MXC,2024-10-26,0.655
.241,0.37,0.324,36,5,9,0,3,0,1,5,1,14,0,HER,2024-10-27,0.694
.234,0.352,0.308,38,4,10,0,0,0,2,4,0,11,1,MXC,2024-10-27,0.6599999999999999
.219,0.344,0.324,32,5,7,1,1,0,1,5,0,12,0,MTY,2024-10-11,0.6679999999999999
.167,0.167,0.265,30,0,5,1,0,0,0,0,0,9,0,MXC,2024-10-11,0.43200000000000005
.265,0.392,0.329,30,0,4,0,1,0,0,0,0,11,0,JAL,2024-10-18,0.7210000000000001
.200,0.292,0.287,28,1,4,1,1,0,0,1,0,8,0,MXC,2024-10-18,0.579
.257,0.376,0.317,33,3,7,0,2,0,0,3,0,10,0,JAL,2024-10-19,0.6930000000000001
.211,0.315,0.298,28,4,8,1,3,1,0,4,0,8,0,MXC,2024-10-19,0.613
.265,0.378,0.321,38,5,12,1,3,0,0,4,0,9,0,JAL,2024-10-20,0.6990000000000001
.205,0.307,0.288,31,2,5,0,1,1,0,2,0,10,0,MXC,2024-10-20,0.595
