season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2023,5483.0,Sultanes de Monterrey,624221,Carlos Figueroa,7,LF,45,7.0,20.0,1.0,0,0.214,1.0,0.0,0.0,7.0,163,3.622,13.3,22.2,0.0,0.6,0.026,1.0,0.0,5,61,17,29,6,3,9,0,0,2,4,MTY,0,10,6,38,6,0.0,10.4,27.9,17.2,44.8,17.2,20.7,0.089,0.232
2023,5483.0,Sultanes de Monterrey,549930,Alberto Carreon,4,2B,56,8.0,16.0,3.0,0,0.179,1.0,3.0,0.0,5.0,207,3.696,7.1,12.5,0.0,0.571,0.022,0.0,0.0,7,101,25,42,2,5,21,2,0,5,0,MTY,0,7,4,46,7,0.0,12.1,24.8,21.4,50.0,23.8,4.8,0.054,0.218
2023,5483.0,Sultanes de Monterrey,616569,Diego Madero,5,3B,12,2.0,5.0,1.0,0,0.125,1.0,0.0,0.0,1.0,57,4.75,25.0,0.0,0.0,,0.125,0.0,0.0,2,24,0,9,0,0,6,0,0,1,0,MTY,0,0,3,8,1,0.0,0.0,0.0,22.2,66.7,11.1,0.0,-0.25,0.296
2023,5483.0,Sultanes de Monterrey,697779,Jose Robledo,X,X,37,3.0,29.0,0.0,0,0.136,0.0,0.0,0.0,3.0,124,3.351,2.7,37.8,0.0,0.071,0.0,0.0,0.0,5,77,29,22,1,2,11,0,0,3,0,MTY,0,14,1,36,3,0.0,23.4,37.7,22.7,50.0,22.7,4.5,0.351,0.096
2023,5483.0,Sultanes de Monterrey,811361,Joel Flores,X,X,5,0.0,5.0,0.0,0,0.0,0.0,0.0,1.0,1.0,17,3.4,0.0,40.0,0.0,,0.0,0.0,0.0,1,9,3,3,0,0,2,0,0,0,0,MTY,0,2,0,5,0,0.0,17.6,33.3,33.3,66.7,0.0,0.0,0.4,0.0
2023,5483.0,Sultanes de Monterrey,585133,Arturo Rodriguez,X,X,1,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,2,1,1,0,0,1,0,0,0,0,MTY,0,0,0,1,0,,20.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0
2023,5483.0,Sultanes de Monterrey,808023,Joseph Sequera,2,C,3,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,10,3.333,0.0,66.7,0.0,,0.0,0.0,0.0,1,7,2,1,0,0,0,0,0,0,0,MTY,0,2,0,3,0,0.0,20.0,28.6,100.0,0.0,0.0,0.0,0.667,0.0
2023,,,458501,Luis Alfonso Cruz,,"3B,1B",124,,,,0,0.202,,,,,413,,8.1,14.5,0.0080645161290322,0.5555555555555556,,,,18,215,45,95,18,9,30,4,0,11,5,2 Teams,1,18,10,113,20,4.5,10.9,20.9,23.2,36.8,21.1,18.9,,0.244
2023,,,572868,Anthony Giansanti,,"RF,LF",59,,,,0,0.056,,,,,238,,15.3,22.0,0.0169491525423728,0.6923076923076923,,,,10,118,38,37,8,2,14,0,0,2,1,2 Teams,1,13,9,50,3,10.0,16.0,32.2,27.0,40.5,10.8,21.6,,0.189
2023,,,585133,Arturo Rodriguez,,"C,X",3,,,,0,0.0,,,,,15,,0.0,0.0,0.0,,,,,0,9,2,3,1,0,2,0,0,0,0,2 Teams,0,0,0,3,0,,13.3,22.2,0.0,66.7,0.0,33.3,,0.0
2023,,,594096,Gilberto Galaviz,,C,30,,,,0,0.227,,,,,123,,6.7,16.7,0.0,0.4,,,,2,62,19,22,0,3,12,1,0,1,3,2 Teams,0,5,2,27,5,0.0,15.4,30.6,13.6,68.2,18.2,0.0,,0.231
