season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,677.0,Naranjeros de Hermosillo,680023,Daniel Mercado,C,2,0,1,0,0,1,0,0,0,1,0,1.0,1,1.0,4.0,5.0,0,0,,0,3,1,4,2,0,0,0,,,1.0,HER,
2024,677.0,Naranjeros de Hermosillo,663845,Alfonso Rivas III,LF,3,2,2,0,0,0,4,1,0,3,1,0.3,10,0.417,0.3,0.717,0,0,,0,53,12,3,2,4,0,0,0.5,2.0,,HER,
2024,677.0,Naranjeros de Hermosillo,678706,Reivaj Garcia,SS,21,11,7,3,2,0,14,1,0,17,0,0.298,57,0.31,0.421,0.731,1,1,50.0,0,210,59,24,7,26,1,0,0.395,0.69,,HER,
2024,677.0,Naranjeros de Hermosillo,662962,Jasson Atondo,SS,25,36,9,6,0,0,6,8,1,23,0,0.291,79,0.356,0.367,0.723,3,1,25.0,2,298,89,29,5,31,2,0,0.315,2.25,,HER,
2024,677.0,Naranjeros de Hermosillo,473242,Agustin Murillo,3B,27,32,13,5,0,3,14,14,0,28,3,0.286,98,0.391,0.429,0.82,1,5,83.3,2,481,118,42,14,37,3,0,0.309,1.19,32.67,HER,
2024,677.0,Naranjeros de Hermosillo,678218,Brandon Valenzuela,C,20,8,6,7,0,1,17,17,1,16,0,0.271,59,0.429,0.441,0.87,0,0,,0,301,77,26,7,21,0,1,0.357,0.42,59.0,HER,
2024,677.0,Naranjeros de Hermosillo,606580,Jose Cardona,CF,20,19,9,6,1,0,11,4,0,20,0,0.27,74,0.308,0.378,0.686,1,6,85.7,2,292,81,28,2,21,3,0,0.317,0.7,,HER,
2024,677.0,Naranjeros de Hermosillo,672478,Jordan Diaz,DH,23,24,4,4,0,1,20,5,0,20,0,0.233,86,0.275,0.314,0.589,0,1,100.0,4,331,91,27,8,46,0,0,0.292,1.09,86.0,HER,
2024,677.0,Naranjeros de Hermosillo,676761,Irving Lopez,2B,27,31,14,3,0,3,18,13,0,19,1,0.221,86,0.33,0.36,0.69,2,1,33.3,1,410,104,31,10,28,4,0,0.246,1.41,28.67,HER,
2024,677.0,Naranjeros de Hermosillo,641432,Willie Calhoun,1B,30,29,5,1,0,3,8,14,0,22,0,0.208,106,0.3,0.302,0.602,0,0,,3,436,120,32,12,53,0,0,0.2,0.62,35.33,HER,
2024,677.0,Naranjeros de Hermosillo,571531,Sergio Burruel,C,18,11,2,0,0,1,9,10,1,7,0,0.206,34,0.386,0.294,0.68,0,0,,2,185,45,10,6,16,1,0,0.25,1.38,34.0,HER,
2024,677.0,Naranjeros de Hermosillo,803376,Angel Camacho,LF,24,26,8,3,0,0,15,4,0,14,0,0.203,69,0.247,0.246,0.493,2,3,60.0,1,288,78,17,5,42,5,0,0.259,1.37,,HER,
2024,677.0,Naranjeros de Hermosillo,657051,Nicholas Torres,RF,27,23,11,3,0,3,28,12,2,20,0,0.198,101,0.283,0.317,0.6,0,2,100.0,2,431,113,32,9,63,0,0,0.243,0.77,33.67,HER,
2024,677.0,Naranjeros de Hermosillo,807587,Angel Ramirez,LF,22,6,4,0,0,0,7,1,0,3,0,0.15,20,0.19,0.15,0.34,1,0,0.0,0,70,21,3,1,13,0,0,0.231,1.5,,HER,
2024,677.0,Naranjeros de Hermosillo,510612,Francisco Cordoba,C,5,3,0,0,0,0,3,1,0,2,0,0.143,14,0.2,0.143,0.343,0,0,,0,51,16,2,1,10,1,0,0.182,0.43,,HER,
2024,677.0,Naranjeros de Hermosillo,546366,Francisco Lugo,LF,14,15,4,0,0,0,7,1,1,4,0,0.125,32,0.147,0.125,0.272,0,0,,0,116,34,4,4,16,0,1,0.154,2.14,,HER,
2024,677.0,Naranjeros de Hermosillo,815734,Dylan Jasso,X,15,10,2,2,0,0,4,4,0,2,1,0.074,27,0.219,0.148,0.367,0,0,,2,137,33,4,0,18,1,0,0.087,0.83,,HER,
2024,677.0,Naranjeros de Hermosillo,524648,Alejandro Gonzalez,LF,3,0,1,0,0,0,2,2,0,0,0,0.0,3,0.4,0.0,0.4,0,0,,0,26,5,0,0,5,0,0,0.0,0.0,,HER,
2024,677.0,Naranjeros de Hermosillo,675970,Alex Robles,X,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,2,1,0,0,0,0,0,0.0,0.0,,HER,
2024,678.0,Tomateros de Culiacan,695000,Poncho Ruiz,C,15,10,10,2,0,1,7,8,0,14,0,0.35,40,0.458,0.475,0.933,0,3,100.0,2,209,48,19,3,20,0,0,0.406,1.11,40.0,CUL,
