season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,2B,3B,IBB,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,wOBA
2024,5482.0,Algodoneros de Guasave,669315,Orlando Pina,5,3B,42,14.0,18.0,0.0,0,0.25,2.0,2.0,5.0,7.0,178,4.238,7.1,26.2,0.048,0.273,0.162,1.0,0.0,4,71,26,26,1,1,12,3,0,3,2,GSV,2,11,3,37,8,0.0,0.0,1.0,28.6,14.6,36.6,26.9,53.8,15.4,3.8,0.191,0.316
2024,5482.0,Algodoneros de Guasave,701033,Jorge Rivera,6,SS,20,5.0,10.0,0.0,0,0.25,1.0,1.0,1.0,2.0,73,3.65,0.0,15.0,0.0,,0.053,1.0,0.0,1,30,8,16,2,0,9,0,0,3,1,GSV,0,3,0,19,4,1.0,0.0,0.0,0.0,11.0,26.7,6.2,62.5,18.8,12.5,0.15,0.249
2024,5482.0,Algodoneros de Guasave,657733,Roberto Ramos,3,1B,113,36.0,55.0,0.0,1,0.235,8.0,0.0,2.0,16.0,485,4.292,13.3,23.0,0.035,0.577,0.165,0.0,0.0,19,215,60,72,6,8,19,6,0,11,3,GSV,4,26,15,97,20,4.0,0.0,1.0,16.0,12.4,27.9,34.7,30.6,26.4,8.3,0.097,0.321
2024,5482.0,Algodoneros de Guasave,643271,Narciso Crook,9,RF,43,13.0,21.0,0.0,0,0.24,4.0,0.0,0.0,4.0,157,3.651,16.3,23.3,0.023,0.7,0.167,1.0,0.0,3,69,28,26,4,1,11,2,0,3,2,GSV,1,10,7,36,7,3.0,0.0,1.0,20.0,17.8,40.6,19.2,50.0,15.4,15.4,0.07,0.317
2024,5482.0,Algodoneros de Guasave,674504,Francisco Hernandez,7,LF,53,12.0,24.0,2.0,0,0.188,3.0,1.0,1.0,7.0,221,4.17,7.5,24.5,0.019,0.308,0.109,0.0,0.0,5,98,23,35,3,3,17,2,0,4,1,GSV,1,13,4,46,7,2.0,0.0,0.0,14.3,10.4,23.5,20.0,51.4,20.0,8.6,0.1699999999999999,0.236
2024,5482.0,Algodoneros de Guasave,685694,Keven Lamas,4,2B,63,10.0,33.0,0.0,0,0.211,2.0,4.0,3.0,9.0,249,3.952,9.5,23.8,0.0,0.4,0.038,1.0,0.0,5,116,29,38,5,4,16,3,0,4,1,GSV,0,15,6,53,8,2.0,0.0,0.0,0.0,11.6,25.0,21.1,44.7,21.1,13.2,0.143,0.252
2024,5482.0,Algodoneros de Guasave,806873,Yael Romero,X,X,11,1.0,3.0,0.0,0,0.25,0.0,1.0,0.0,1.0,57,5.182,27.3,27.3,0.0,1.0,0.0,0.0,0.0,1,20,8,4,1,1,0,0,0,0,1,GSV,0,3,3,7,1,0.0,0.0,0.0,0.0,14.0,40.0,25.0,25.0,25.0,25.0,0.0,0.356
2024,5482.0,Algodoneros de Guasave,674706,Alan Lopez,X,X,10,1.0,4.0,0.0,0,0.143,0.0,0.0,0.0,1.0,36,3.6,0.0,30.0,0.0,,0.0,0.0,0.0,2,19,6,7,2,0,2,0,0,0,1,GSV,0,3,0,10,1,0.0,0.0,0.0,0.0,16.7,31.6,28.6,42.9,0.0,28.6,0.3,0.095
2024,5482.0,Algodoneros de Guasave,811366,Brandon Jaime,2,C,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,2.5,0.0,0.0,0.0,,0.0,0.0,0.0,1,3,0,2,0,0,1,0,0,0,0,GSV,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
2024,5483.0,Sultanes de Monterrey,606143,Alejandro Mejia,10,DH,8,4.0,2.0,0.0,0,0.429,1.0,0.0,0.0,1.0,24,3.0,0.0,12.5,0.0,,0.125,0.0,0.0,1,16,5,7,1,0,2,0,0,2,1,MTY,0,1,0,8,3,1.0,0.0,0.0,0.0,20.8,31.2,14.3,42.9,28.6,14.3,0.125,0.409
